repository_url,commits_ahead,path,repos
https://github.com/youtalk/autoware,73,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/youtalk/autoware,autoware.repos:simulator.repos
https://github.com/lomby-inc/autoware,31,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/lomby-inc/autoware,simulator.repos:autoware.repos
https://github.com/lionator/autoware,28,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/lionator/autoware,simulator.repos:autoware.repos
https://github.com/tier4-2023-team2/autoware,27,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/tier4-2023-team2/autoware,calibration_tools.repos:autoware.repos
https://github.com/lethal233/autoware,25,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/lethal233/autoware,simulator.repos:autoware.repos
https://github.com/knu-citac/autoware.citac,24,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/knu-citac/autoware.citac,autoware.repos
https://github.com/vautonomous/autoware,24,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/vautonomous/autoware,snapshot.repos:autoware.repos
https://github.com/AVGTeam-OperakitB/autoware,23,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/AVGTeam-OperakitB/autoware,autoware.repos
https://github.com/NUSRI-P22/autoware.p22,19,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/NUSRI-P22/autoware.p22,calibration_tools.repos:autoware.repos
https://github.com/AutomotiveAIChallenge/autoware,19,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/AutomotiveAIChallenge/autoware,simulator.repos:autoware.repos
https://github.com/IUTSmartMining/autoware_prototype,18,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/IUTSmartMining/autoware_prototype,autoware.repos
https://github.com/Arslan-Z/autoware,18,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/Arslan-Z/autoware,autoware (copy).repos:autoware.repos
https://github.com/MOREVehicle/autoware.MORE,16,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/MOREVehicle/autoware.MORE,autoware.repos
https://github.com/Robicarr-Karsan/autoware.robicarr_init,15,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/Robicarr-Karsan/autoware.robicarr_init,repos/karsan_demo.repos:repos/2023_12_11.repos:calibration_tools.repos:repos/2023_12_03.repos:autoware.repos
https://github.com/gekidaniino001/iinomob2.autoware,13,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/gekidaniino001/iinomob2.autoware,iino.repos:tools.repos:simulator.repos:autoware.repos
https://github.com/iASL-Gifu/canedudev_rover_autoware,13,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/iASL-Gifu/canedudev_rover_autoware,autoware.repos
https://github.com/shanpeng-m/xrm_autoware,13,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/shanpeng-m/xrm_autoware,calibration_tools.repos:xrm_project.repos
https://github.com/tier4/edge-auto,13,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/tier4/edge-auto,experimental.repos:simulator.repos:autoware.repos
https://github.com/dtonda8/autoware.twizy,12,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/dtonda8/autoware.twizy,calibration_tools.repos:autoware.repos
https://github.com/jkk-research/autoware,11,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/jkk-research/autoware,autoware.repos
https://github.com/IUTSmartMining/autoware_truck,10,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/IUTSmartMining/autoware_truck,tools.repos:simulator.repos:autoware.repos
https://github.com/HelloWorldRobotics/autowarefoundation,10,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/HelloWorldRobotics/autowarefoundation,simulator.repos:autoware.repos
https://github.com/Futu-reADS/autoware.SMV,9,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/Futu-reADS/autoware.SMV,autoware.repos
https://github.com/1222-takeshi/autoware,9,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/1222-takeshi/autoware,autoware.repos
https://github.com/danielsanchezaran/autoware.s1,8,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/danielsanchezaran/autoware.s1,calibration_tools.repos:autoware.repos
https://github.com/nabetetsu/autoware,8,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/nabetetsu/autoware,autoware.repos
https://github.com/mlab-upenn/gokart-autoware,7,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/mlab-upenn/gokart-autoware,tools.repos:simulator.repos:autoware.repos
https://github.com/Futu-reADS/autoware.FTD,7,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/Futu-reADS/autoware.FTD,tools.repos:simulator.repos:autoware.repos
https://github.com/tier4/autoware_training202402,7,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/tier4/autoware_training202402,calibration_tools.repos:autoware.repos
https://github.com/thecarlab/VeCBench,7,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/thecarlab/VeCBench,autoware.repos
https://github.com/Futu-reADS/autoware,7,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/Futu-reADS/autoware,autoware.repos
https://github.com/zubxxr/autoware,6,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/zubxxr/autoware,autoware.repos
https://github.com/T4-FY23-AW-Training-Team1/autoware.logieess,6,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/T4-FY23-AW-Training-Team1/autoware.logieess,autoware.repos
https://github.com/xygyo77/tilde-autoware,6,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/xygyo77/tilde-autoware,mtt-awf-hash.repos:nrm-awf-hash.repos:stee-awf-hash.repos
https://github.com/DataspeedInc/autoware.dstester,5,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/DataspeedInc/autoware.dstester,autoware.repos
https://github.com/UMiho/autoware,5,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/UMiho/autoware,simulator.repos
https://github.com/kobayu858/autoware,5,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/kobayu858/autoware,autoware.repos
https://github.com/astri-inm-sm/autoware.hunter_se,4,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/astri-inm-sm/autoware.hunter_se,devel.repos:autoware.repos
https://github.com/youweik2/autoware,4,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/youweik2/autoware,autoware.repos
https://github.com/Orient-Robotics/autoware,4,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/Orient-Robotics/autoware,orient.repos
https://github.com/Fleming-Sung/autoware_siat4steer,4,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/Fleming-Sung/autoware_siat4steer,autoware.repos
https://github.com/zillur-av/autoware,4,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/zillur-av/autoware,autoware.repos
https://github.com/IMD-Lab/xrm-autoware,4,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/IMD-Lab/xrm-autoware,autoware.repos
https://github.com/ecschuetz/autoware,4,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/ecschuetz/autoware,src/vehicle/swarm_vehicle_launch/build_depends.repos:src/sensor_kit/swarm_sensor_kit_launch/build_depends.repos
https://github.com/hanfeiwu/autoware,3,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/hanfeiwu/autoware,tools.repos:simulator.repos:autoware.repos
https://github.com/OBIGOGIT/obigo.goasp.autoware,3,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/OBIGOGIT/obigo.goasp.autoware,goasp.autoware.repos
https://github.com/semvis123/autoware,3,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/semvis123/autoware,autoware.repos
https://github.com/tier4/autoware_training,3,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/tier4/autoware_training,tools.repos:calibration_tools.repos:simulator.repos:autoware.repos
https://github.com/KJM-N/autoware_whill,3,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/KJM-N/autoware_whill,autoware.repos
https://github.com/leo-drive/autoware.golf,3,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/leo-drive/autoware.golf,autoware.repos
https://github.com/ashishpratikpatil/autoware.mache,2,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/ashishpratikpatil/autoware.mache,calibration_tools.repos:autoware.repos
https://github.com/0x587/autoware.tutorial_vehicle,2,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/0x587/autoware.tutorial_vehicle,autoware.repos
https://github.com/subramanians1/ASD2024,2,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/subramanians1/ASD2024,autoware.repos
https://github.com/kstii1606/autoware,2,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/kstii1606/autoware,simulator.repos
https://github.com/ub-cavas/AutowareUniverse,2,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/ub-cavas/AutowareUniverse,autoware.repos
https://github.com/joel-kallarackal/autoware.airl_vehicle,1,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/joel-kallarackal/autoware.airl_vehicle,autoware.repos
https://github.com/ShinonomeAkebono/autoware.SORTER,1,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/ShinonomeAkebono/autoware.SORTER,autoware.repos
https://github.com/hidechun/autoware.tutorial_vehicle,1,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/hidechun/autoware.tutorial_vehicle,autoware.repos
https://github.com/wweizheng/autoware.bupt927_vehicle,1,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/wweizheng/autoware.bupt927_vehicle,autoware.repos
https://github.com/yoepav/autoware.prescan,1,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/yoepav/autoware.prescan,autoware.repos
https://github.com/aurelienUD/autoware_aurelien,1,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/aurelienUD/autoware_aurelien,autoware.repos
https://github.com/nahyunHycon/autoware_hycon,1,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/nahyunHycon/autoware_hycon,autoware.repos
https://github.com/Napolleon4/autoware.my_vehicle,1,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/Napolleon4/autoware.my_vehicle,simulator.repos:autoware.repos
https://github.com/norasper/autoware,1,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/norasper/autoware,autoware.repos
https://github.com/blackfoxlab/autoware.vehicle_zero,1,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/blackfoxlab/autoware.vehicle_zero,autoware.repos
https://github.com/kimhunhui/autoware.tutorial_vehicle,1,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/kimhunhui/autoware.tutorial_vehicle,autoware.repos
https://github.com/AW-SP-Training/autoware.s1,1,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/AW-SP-Training/autoware.s1,autoware.repos
https://github.com/pingfoo/autoware,1,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/pingfoo/autoware,autoware.repos
https://github.com/WehoilZhang/autoware,1,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/WehoilZhang/autoware,autoware.repos
https://github.com/gegai/autoware,1,/work/ryoji-ag/mining_repositories/autoware-2024-08-02-11-07-43/gegai/autoware,autoware.repos
